priority_rank,date_key,store_name,sku_id,sku_name,category,issue_type,risk_score,recommended_action,recommended_quantity,hours_to_stockout,expected_impact,source_store,destination_store,reason
1,20260629,BEN_DS_02,125,FRUI_CUT _05,Fruits & Vegetables,Inter-Store Misallocation / Impending Shortage,99,Redistribute Stock,48,0.4,"Avoids $2,431.68 lost sales; lifts DoC from 0.0 to 1.1d",BEN_DS_08,BEN_DS_02,Destination projected to breach safety stock within 0.4h (DoC: 0.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.1d). Distance is 6.7km within configured limit.
2,20260629,BEN_DS_02,125,FRUI_CUT _05,Fruits & Vegetables,Stock Below Reorder Point,99,Immediate Replenishment,336,0.4,"Protects $2,210.80 sales exposure; targets 334 units",Regional Distribution Center,BEN_DS_02,Projected inventory (1) breached ROP (72). Target: 334.
3,20260629,MUM_DS_01,69,SNAC_CHOC_09,Snacks,Inter-Store Misallocation / Impending Shortage,98,Redistribute Stock,128,0.5,"Avoids $3,835.37 lost sales; lifts DoC from 0.0 to 3.4d",MUM_DS_08,MUM_DS_01,Destination projected to breach safety stock within 0.5h (DoC: 0.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.6d). Distance is 8.1km within configured limit.
4,20260629,MUM_DS_01,69,SNAC_CHOC_09,Snacks,Stock Below Reorder Point,98,Immediate Replenishment,288,0.5,"Protects $1,899.75 sales exposure; targets 287 units",Regional Distribution Center,MUM_DS_01,Projected inventory (1) breached ROP (78). Target: 287.
5,20260629,MUM_DS_01,34,BEVE_ENER_04,Beverages,Inter-Store Misallocation / Impending Shortage,95,Redistribute Stock,90,0.9,"Avoids $5,616.00 lost sales; lifts DoC from 0.1 to 1.6d",MUM_DS_09,MUM_DS_01,Destination projected to breach safety stock within 0.9h (DoC: 0.1d). Source retains surplus stock above protection threshold (Post-transfer DoC: 2.8d). Distance is 7.2km within configured limit.
6,20260629,MUM_DS_01,34,BEVE_ENER_04,Beverages,Stock Below Reorder Point,95,Immediate Replenishment,426,0.9,"Protects $3,672.86 sales exposure; targets 429 units",Regional Distribution Center,MUM_DS_01,Projected inventory (3) breached ROP (46). Target: 429.
7,20260629,MUM_DS_05,30,DAIR_PANE_30,Dairy,Inter-Store Misallocation / Impending Shortage,92,Redistribute Stock,312,0.0,"Avoids $29,705.05 lost sales; lifts DoC from 0.0 to 3.5d",MUM_DS_01,MUM_DS_05,Destination projected to breach safety stock within 0.0h (DoC: 0.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.6d). Distance is 8.6km within configured limit.
8,20260629,DEL_DS_06,258,BABY_BABY_18,Baby Care,Inter-Store Misallocation / Impending Shortage,92,Redistribute Stock,24,0.0,"Avoids $13,254.96 lost sales; lifts DoC from 0.0 to 1.2d",DEL_DS_05,DEL_DS_06,Destination projected to breach safety stock within 0.0h (DoC: 0.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.5d). Distance is 4.7km within configured limit.
9,20260629,MUM_DS_03,17,DAIR_CURD_17,Dairy,Inter-Store Misallocation / Impending Shortage,92,Redistribute Stock,316,0.0,"Avoids $19,651.17 lost sales; lifts DoC from 0.0 to 3.5d",MUM_DS_04,MUM_DS_03,Destination projected to breach safety stock within 0.0h (DoC: 0.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 8.1d). Distance is 0.9km within configured limit.
10,20260629,MUM_DS_06,261,BABY_DIAP_21,Baby Care,Inter-Store Misallocation / Impending Shortage,92,Redistribute Stock,76,0.0,"Avoids $18,452.72 lost sales; lifts DoC from 0.0 to 3.5d",MUM_DS_10,MUM_DS_06,Destination projected to breach safety stock within 0.0h (DoC: 0.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 11.2d). Distance is 3.0km within configured limit.
11,20260629,BEN_DS_09,88,SNAC_NAMK_28,Snacks,Inter-Store Misallocation / Impending Shortage,92,Redistribute Stock,78,0.0,"Avoids $10,734.36 lost sales; lifts DoC from 0.0 to 1.3d",BEN_DS_08,BEN_DS_09,Destination projected to breach safety stock within 0.0h (DoC: 0.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.2d). Distance is 2.2km within configured limit.
12,20260629,BEN_DS_01,154,STAP_EDIB_04,Staples,Inter-Store Misallocation / Impending Shortage,92,Redistribute Stock,132,0.0,"Avoids $16,384.84 lost sales; lifts DoC from 0.0 to 3.5d",BEN_DS_04,BEN_DS_01,Destination projected to breach safety stock within 0.0h (DoC: 0.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 8.6d). Distance is 1.3km within configured limit.
13,20260629,BEN_DS_10,106,PACK_NOOD_16,Packaged Foods,Inter-Store Misallocation / Impending Shortage,92,Redistribute Stock,88,0.0,"Avoids $14,513.46 lost sales; lifts DoC from 0.0 to 2.6d",BEN_DS_04,BEN_DS_10,Destination projected to breach safety stock within 0.0h (DoC: 0.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.1d). Distance is 1.1km within configured limit.
14,20260629,DEL_DS_07,85,SNAC_NUTS_25,Snacks,Inter-Store Misallocation / Impending Shortage,92,Redistribute Stock,120,0.0,"Avoids $12,911.25 lost sales; lifts DoC from 0.0 to 3.2d",DEL_DS_10,DEL_DS_07,Destination projected to breach safety stock within 0.0h (DoC: 0.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.8d). Distance is 3.4km within configured limit.
15,20260629,MUM_DS_01,142,FRUI_EXOT_22,Fruits & Vegetables,Inter-Store Misallocation / Impending Shortage,92,Redistribute Stock,112,0.0,"Avoids $7,168.00 lost sales; lifts DoC from 0.0 to 1.7d",MUM_DS_08,MUM_DS_01,Destination projected to breach safety stock within 0.0h (DoC: 0.0d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.4d). Distance is 8.1km within configured limit.
16,20260629,MUM_DS_05,30,DAIR_PANE_30,Dairy,Stock Below Reorder Point,92,Immediate Replenishment,792,0.0,"Protects $14,840.91 sales exposure; targets 770 units",Regional Distribution Center,MUM_DS_05,Projected inventory (0) breached ROP (322). Target: 770.
17,20260629,DEL_DS_06,258,BABY_BABY_18,Baby Care,Stock Below Reorder Point,92,Immediate Replenishment,144,0.0,"Protects $10,653.67 sales exposure; targets 142 units",Regional Distribution Center,DEL_DS_06,Projected inventory (0) breached ROP (26). Target: 142.
